Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Licensed?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,id
Rockstar Games presents Table Tennis,True,2,True,True,Sports,True,Rockstar,True,81,0.28,9.95,X360,1248
Trauma Center: Second Opinion,True,1,True,True,"Action,Simulation",True,Nintendo,True,80,0.28,17.95,Nintendo Wii,1249
Tenchu Z,True,1,True,True,Action,True,Microsoft,True,56,0.28,14.95,X360,1250
Elite Beat Agents,True,1,True,True,Action,True,Nintendo,True,87,0.27,9.95,Nintendo DS,1251
Street Fighter Alpha 3 MAX,True,1,True,True,Action,True,Capcom,True,80,0.27,14.95,Sony PSP,1252
Blue Dragon,True,1,True,True,Role-Playing (RPG),True,Microsoft,True,79,0.27,14.95,X360,1253
The Lord of the Rings: The Battle for Middle Ea...,True,1,True,True,Strategy,True,EA,True,79,0.27,19.95,X360,1254
Prey,True,1,True,True,Action,True,2K,True,79,0.27,14.95,X360,1255
Over the Hedge,True,1,True,True,Adventure,True,Activision,True,71,0.26,16.95,Nintendo DS,1256
Capcom Classics Collection Reloaded,True,1,True,True,Action,True,Capcom,True,75,0.26,17.95,Sony PSP,1257
Pirates of the Caribbean: Dead Man's Chest,True,1,True,True,Action,True,,True,52,0.26,14.95,Sony PSP,1258
NHL 07 ,True,1,True,True,Sports,True,EA,True,79,0.26,5.95,X360,1259
Monster Hunter Freedom,True,1,True,True,"Action,Strategy",True,Capcom,True,71,0.25,12.95,Sony PSP,1260
Chromehounds,True,1,True,True,"Action,Simulation,Strategy",True,Sega,True,71,0.25,14.95,X360,1261
Test Drive Unlimited,True,1,True,True,Racing / Driving,True,Atari,True,82,0.25,17.95,X360,1262
Dragon Ball Z: Budokai Tenkaichi 2,True,2,True,True,Action,True,Atari,True,72,0.24,14.95,Nintendo Wii,1263
Dragon Quest Monsters: Joker,True,1,True,True,Role-Playing (RPG),True,SquareEnix,True,75,0.24,14.95,Nintendo DS,1264
Pirates of the Caribbean: Dead Man's Chest,True,1,True,True,Action,True,,True,63,0.24,11.95,Nintendo DS,1265
NFL Street 3,True,1,True,True,"Action,Sports",True,EA,True,68,0.24,14.95,Sony PSP,1266
Syphon Filter: Dark Mirror,True,1,True,True,Action,True,Sony,True,87,0.24,12.95,Sony PSP,1267
NBA 07,True,4,True,True,Sports,True,Sony,True,63,0.23,6.95,PlayStation 3,1268
Ridge Racer 7,True,2,True,True,Racing / Driving,True,"Namco,Sony",True,78,0.23,19.95,PlayStation 3,1269
The Outfit,True,2,True,True,Action,True,THQ,True,70,0.23,14.95,X360,1270
Elebits,True,4,True,True,Action,True,Konami,True,75,0.22,14.95,Nintendo Wii,1271
Tony Hawk's Downhill Jam,True,1,True,True,"Racing / Driving,Sports",True,Activision,True,76,0.22,14.95,Nintendo DS,1272
The Sims 2: Pets,True,1,True,True,Simulation,True,EA,True,57,0.21,17.95,Sony PSP,1273
Tiger Woods PGA Tour 07,True,1,True,True,Sports,True,EA,True,78,0.21,12.95,Sony PSP,1274
Thrillville,True,1,True,True,"Simulation,Strategy",True,Atari,True,72,0.2,14.95,Sony PSP,1275
The Godfather: The Game,True,1,True,True,Action,True,EA,True,77,0.2,17.95,X360,1276
Rampage: Total Destruction,True,4,True,True,Action,True,Midway,True,46,0.19,16.95,Nintendo Wii,1277
College Hoops 2K7,True,4,True,True,Sports,True,2K,True,82,0.19,6.95,X360,1278
Far Cry: Instincts - Predator,True,4,True,True,Action,True,Ubisoft,True,78,0.19,17.95,X360,1279
Full Auto,True,2,True,True,"Action,Racing / Driving",True,Sega,True,70,0.19,16.95,X360,1280
Age of Empires: The Age of Kings,True,1,True,True,Strategy,True,,True,80,0.19,17.95,Nintendo DS,1281
Need for Speed: Carbon - Own the City,True,1,True,True,"Action,Racing / Driving",True,EA,True,70,0.19,14.95,Nintendo DS,1282
Brothers in Arms: D-Day,True,1,True,True,Action,True,Ubisoft,True,65,0.19,6.95,Sony PSP,1283
Family Guy Video Game!,True,1,True,True,Action,True,2K,True,51,0.19,19.95,Sony PSP,1284
Superman Returns,True,1,True,True,Action,True,EA,True,51,0.19,7.95,X360,1285
Over G Fighters,True,2,True,True,Simulation,True,Ubisoft,True,49,0.18,17.95,X360,1286
Final Fantasy XI Online,True,1,True,True,"Action,Role-Playing (RPG)",True,SquareEnix,True,66,0.18,4.95,X360,1287
Mystery Dungeon: Shiren the Wanderer,True,1,True,True,"Action,Role-Playing (RPG)",True,Sega,True,69,0.17,17.95,Nintendo DS,1288
Phoenix Wright: Ace Attorney - Justice for All,True,1,True,True,"Adventure,Simulation",True,Capcom,True,76,0.17,13.95,Nintendo DS,1289
Justice League Heroes,True,1,True,True,Action,True,,True,72,0.17,17.95,Sony PSP,1290
Valhalla Knights,True,1,True,True,"Action,Role-Playing (RPG)",True,,True,53,0.17,16.95,Sony PSP,1291
Genji: Days of the Blade,True,1,True,True,"Action,Role-Playing (RPG)",True,Sony,True,55,0.17,14.95,PlayStation 3,1292
Top Spin 2,True,4,True,True,Sports,True,2K,True,75,0.16,12.95,X360,1293
Field Commander,True,2,True,True,Strategy,True,"Sony,Ubisoft",True,77,0.16,14.95,Sony PSP,1294
Children of Mana,True,1,True,True,"Action,Role-Playing (RPG)",True,"Nintendo,SquareEnix",True,65,0.16,16.95,Nintendo DS,1295
Valkyrie Profile: Lenneth,True,1,True,True,Role-Playing (RPG),True,SquareEnix,True,80,0.16,22.95,Sony PSP,1296
Monster House,True,1,True,True,Action,True,THQ,True,62,0.15,14.95,Nintendo DS,1297
Enchanted Arms,True,1,True,True,Role-Playing (RPG),True,Ubisoft,True,69,0.15,17.95,X360,1298
NHL 07,True,4,True,True,Sports,True,EA,True,76,0.14,12.95,Sony PSP,1299
Bust-a-Move Deluxe,True,2,True,True,Strategy,True,,True,73,0.14,14.95,Sony PSP,1300
Full Auto 2: Battlelines,True,2,True,True,"Action,Racing / Driving",True,Sega,True,67,0.14,14.95,PlayStation 3,1301
Blitz: The League,True,2,True,True,Sports,True,Midway,True,69,0.14,14.95,X360,1302
Star Trek Legacy,True,2,True,True,"Action,Strategy",True,Ubisoft,True,64,0.14,24.95,X360,1303
Eragon,True,1,True,True,"Action,Role-Playing (RPG)",True,,True,63,0.14,16.95,Nintendo DS,1304
Master of Illusion,True,1,True,True,Strategy,True,Nintendo,True,69,0.14,14.95,Nintendo DS,1305
Mega Man ZX,True,1,True,True,Action,True,Capcom,True,76,0.14,19.95,Nintendo DS,1306
Untold Legends: The Warrior's Code,True,1,True,True,"Action,Role-Playing (RPG)",True,"Sony,Ubisoft",True,65,0.14,14.95,Sony PSP,1307
Super Swing Golf,True,1,True,True,Sports,True,,True,72,0.14,16.95,Nintendo Wii,1308
X-Men: The Official Game,True,1,True,True,Action,True,Activision,True,52,0.14,14.95,X360,1309
Untold Legends: Dark Kingdom,True,2,True,True,"Action,Role-Playing (RPG)",True,"EA,Sony",True,58,0.13,16.95,PlayStation 3,1310
Happy Feet,True,2,True,True,Action,True,Midway,True,46,0.13,14.95,Nintendo Wii,1311
Open Season,True,1,True,True,Action,True,Ubisoft,True,72,0.13,17.95,Nintendo DS,1312
Dungeon Siege: Throne of Agony,True,1,True,True,Role-Playing (RPG),True,2K,True,74,0.13,24.95,Sony PSP,1313
LocoRoco,True,1,True,True,"Action,Strategy",True,Sony,True,83,0.13,17.95,Sony PSP,1314
Dead or Alive: Xtreme 2,True,1,True,True,"Racing / Driving,Sports",True,,True,53,0.13,14.95,X360,1315
Fuzion Frenzy 2,True,4,True,True,"Action,Sports",True,Microsoft,True,49,0.12,14.95,X360,1316
MotoGP '06,True,4,True,True,"Racing / Driving,Simulation,Sports",True,THQ,True,80,0.12,14.95,X360,1317
Lumines II,True,2,True,True,Strategy,True,,True,81,0.12,14.95,Sony PSP,1318
Major League Baseball 2K6,True,1,True,True,Sports,True,2K,True,69,0.12,4.95,Sony PSP,1319
Star Wars: Lethal Alliance,True,1,True,True,Action,True,Ubisoft,True,61,0.12,17.95,Sony PSP,1320
Worms: Open Warfare,True,1,True,True,"Action,Strategy",True,THQ,True,70,0.12,17.95,Sony PSP,1321
Eragon,True,4,True,True,Action,True,,True,59,0.11,14.95,Sony PSP,1322
Metal Slug Anthology,True,4,True,True,Action,True,,True,73,0.11,16.95,Nintendo Wii,1323
Open Season,True,4,True,True,Action,True,Ubisoft,True,59,0.11,14.95,X360,1324
Tom Clancy's Splinter Cell: Double Agent,True,2,True,True,Action,True,Ubisoft,True,61,0.11,17.95,Nintendo Wii,1325
Avatar: The Last Airbender,True,1,True,True,Action,True,THQ,True,57,0.11,17.95,Sony PSP,1326
Lemmings,True,1,True,True,Strategy,True,Sony,True,76,0.11,17.95,Sony PSP,1327
Mega Man Powered Up,True,1,True,True,Action,True,Capcom,True,82,0.11,16.95,Sony PSP,1328
College Hoops 2K6,True,1,True,True,Sports,True,2K,True,70,0.11,6.95,X360,1329
Dynasty Warriors 5: Empires,True,2,True,True,"Action,Role-Playing (RPG),Strategy",True,,True,61,0.1,14.95,X360,1330
Magical Starsign,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,69,0.1,9.95,Nintendo DS,1331
Resident Evil: Deadly Silence,True,1,True,True,Action,True,Capcom,True,71,0.1,17.95,Nintendo DS,1332
X-Men: The Official Game,True,1,True,True,Action,True,Activision,True,50,0.1,14.95,Nintendo DS,1333
Cabela's African Safari,True,1,True,True,Sports,True,Activision,True,53,0.1,17.95,X360,1334
Cabela's Alaskan Adventures,True,1,True,True,Sports,True,Activision,True,48,0.1,17.95,X360,1335
Armored Core 4,True,2,True,True,Action,True,Sega,True,65,0.09,19.95,PlayStation 3,1336
Eragon,True,2,True,True,Action,True,,True,48,0.09,12.95,X360,1337
LostMagic,True,1,True,True,"Action,Role-Playing (RPG)",True,Ubisoft,True,68,0.09,14.95,Nintendo DS,1338
Magnetica,True,1,True,True,"Action,Strategy",True,Nintendo,True,68,0.09,17.95,Nintendo DS,1339
Def Jam Fight for NY: The Takeover,True,1,True,True,Action,True,EA,True,79,0.09,17.95,Sony PSP,1340
NASCAR 07,True,1,True,True,"Racing / Driving,Simulation",True,EA,True,66,0.09,24.95,Sony PSP,1341
The Ant Bully,True,1,True,True,Action,True,Midway,True,45,0.09,16.95,Nintendo Wii,1342
Just Cause,True,1,True,True,"Action,Racing / Driving",True,Eidos,True,73,0.09,16.95,X360,1343
Onechanbara: Bikini Samurai Squad,True,1,True,True,Action,True,,True,39,0.09,19.95,X360,1344
Phantasy Star Universe,True,1,True,True,Role-Playing (RPG),True,Sega,True,64,0.09,24.95,X360,1345
Project Sylpheed: Arc of Deception,True,1,True,True,Action,True,"Microsoft,SquareEnix",True,64,0.09,14.95,X360,1346
Winning Eleven: Pro Evolution Soccer 2007,True,6,True,True,Sports,True,Konami,True,80,0.08,11.95,X360,1347
Kororinpa: Marble Mania,True,2,True,True,"Action,Strategy",True,Nintendo,True,69,0.08,17.95,Nintendo Wii,1348
Digimon World DS,True,1,True,True,Role-Playing (RPG),True,Namco,True,49,0.08,27.95,Nintendo DS,1349
Justice League Heroes,True,1,True,True,Action,True,,True,43,0.08,17.95,Nintendo DS,1350
Innocent Life: A Futuristic Harvest Moon,True,1,True,True,"Role-Playing (RPG),Simulation,Strategy",True,,True,67,0.08,17.95,Sony PSP,1351
Power Stone Collection,True,1,True,True,Action,True,Capcom,True,74,0.08,14.95,Sony PSP,1352
EA Replay,True,4,True,True,"Action,Role-Playing (RPG),Simulation,Sports,Strategy",True,EA,True,56,0.07,14.95,Sony PSP,1353
Open Season,True,4,True,True,Action,True,Ubisoft,True,49,0.07,17.95,Nintendo Wii,1354
Samurai Warriors 2,True,4,True,True,Action,True,,True,52,0.07,14.95,X360,1355
Far Cry: Vengeance,True,2,True,True,Action,True,Ubisoft,True,38,0.07,16.95,Nintendo Wii,1356
Import Tuner Challenge,True,2,True,True,Racing / Driving,True,Ubisoft,True,54,0.07,17.95,X360,1357
Contact,True,1,True,True,"Adventure,Role-Playing (RPG)",True,,True,73,0.07,14.95,Nintendo DS,1358
Touch Detective,True,1,True,True,Adventure,True,,True,60,0.07,14.95,Nintendo DS,1359
FIFA Street 2,True,1,True,True,Sports,True,EA,True,58,0.07,17.95,Sony PSP,1360
007: From Russia with Love,True,1,True,True,"Action,Racing / Driving",True,EA,True,61,0.07,17.95,Sony PSP,1361
PaRappa the Rapper,True,1,True,True,Action,True,Sony,True,67,0.07,12.95,Sony PSP,1362
Riviera: The Promised Land,True,1,True,True,Role-Playing (RPG),True,,True,68,0.07,17.95,Sony PSP,1363
Samurai Warriors: State of War,True,1,True,True,Action,True,,True,64,0.07,17.95,Sony PSP,1364
Viewtiful Joe: Red Hot Rumble,True,1,True,True,Action,True,Capcom,True,63,0.07,14.95,Sony PSP,1365
Ice Age 2: The Meltdown,True,1,True,True,Action,True,,True,66,0.07,17.95,Nintendo Wii,1366
Rumble Roses XX,True,4,True,True,"Action,Sports",True,Konami,True,62,0.06,17.95,X360,1367
Bionicle Heroes,True,1,True,True,Action,True,Eidos,True,72,0.06,16.95,Nintendo DS,1368
Deep Labyrinth,True,1,True,True,Role-Playing (RPG),True,,True,57,0.06,10.95,Nintendo DS,1369
Blade Dancer: Lineage of Light,True,1,True,True,Role-Playing (RPG),True,,True,60,0.06,16.95,Sony PSP,1370
Every Extend Extra,True,1,True,True,Action,True,,True,74,0.06,11.95,Sony PSP,1371
Ultimate Ghosts 'N' Goblins,True,1,True,True,Action,True,Capcom,True,72,0.06,17.95,Sony PSP,1372
Xiaolin Showdown,True,1,True,True,Action,True,Konami,True,44,0.06,14.95,Sony PSP,1373
Bionicle Heroes,True,1,True,True,Action,True,Eidos,True,59,0.06,14.95,X360,1374
Bullet Witch,True,1,True,True,Action,True,Atari,True,55,0.06,16.95,X360,1375
Death Jr. II: Root of Evil,True,2,True,True,Action,True,Konami,True,68,0.05,14.95,Sony PSP,1376
Alex Rider: Stormbreaker,True,1,True,True,"Action,Adventure",True,THQ,True,48,0.05,12.95,Nintendo DS,1377
Cartoon Network Racing,True,1,True,True,Racing / Driving,True,,True,55,0.05,14.95,Nintendo DS,1378
Guilty Gear: Dust Strikers,True,1,True,True,Action,True,,True,60,0.05,14.95,Nintendo DS,1379
Gunpey DS,True,1,True,True,Strategy,True,Namco,True,70,0.05,12.95,Nintendo DS,1380
Lara Croft Tomb Raider: Legend,True,1,True,True,"Action,Racing / Driving",True,Eidos,True,58,0.05,17.95,Nintendo DS,1381
Worms: Open Warfare,True,1,True,True,"Action,Strategy",True,THQ,True,64,0.05,17.95,Nintendo DS,1382
Mercury Meltdown,True,1,True,True,Strategy,True,,True,78,0.05,12.95,Sony PSP,1383
MTX Mototrax,True,1,True,True,"Racing / Driving,Sports",True,Activision,True,67,0.05,19.95,Sony PSP,1384
Snoopy vs. the Red Baron,True,1,True,True,Action,True,Namco,True,76,0.05,17.95,Sony PSP,1385
Super Monkey Ball Adventure,True,1,True,True,"Action,Racing / Driving",True,Sega,True,56,0.05,24.95,Sony PSP,1386
Ys VI: The Ark of Napishtim,True,1,True,True,"Action,Role-Playing (RPG)",True,Konami,True,64,0.05,16.95,Sony PSP,1387
Bomberman Land Touch!,True,1,True,True,Action,True,,True,78,0.04,24.95,Nintendo DS,1388
Point Blank DS,True,1,True,True,Action,True,"Atari,Namco",True,66,0.04,17.95,Nintendo DS,1389
Scurge: Hive,True,1,True,True,Action,True,,True,70,0.04,8.95,Nintendo DS,1390
Star Trek: Tactical Assault,True,1,True,True,"Action,Strategy",True,Ubisoft,True,63,0.04,17.95,Nintendo DS,1391
Tao's Adventure: Curse of the Demon Seal,True,1,True,True,Role-Playing (RPG),True,Konami,True,50,0.04,14.95,Nintendo DS,1392
Ford Bold Moves Street Racing,True,1,True,True,Racing / Driving,True,Eidos,True,52,0.04,17.95,Sony PSP,1393
Gitaroo Man Lives!,True,1,True,True,Simulation,True,,True,80,0.04,22.95,Sony PSP,1394
Gradius Collection,True,1,True,True,Action,True,Konami,True,76,0.04,17.95,Sony PSP,1395
The Legend of Heroes II: Prophecy of the Moonli...,True,1,True,True,Role-Playing (RPG),True,Namco,True,63,0.04,17.95,Sony PSP,1396
Pac-Man World Rally,True,1,True,True,"Action,Racing / Driving",True,Namco,True,51,0.04,17.95,Sony PSP,1397
Bomberman: Act Zero,True,1,True,True,Action,True,Konami,True,34,0.04,12.95,X360,1398
Earth Defense Force 2017,True,2,True,True,Action,True,,True,69,0.03,17.95,X360,1399
WarTech: Senko no Ronde,True,2,True,True,Action,True,Ubisoft,True,60,0.03,12.95,X360,1400
MechAssault: Phantom War,True,1,True,True,Action,True,,True,66,0.03,12.95,Nintendo DS,1401
Astonishia Story,True,1,True,True,"Role-Playing (RPG),Strategy",True,Ubisoft,True,48,0.03,16.95,Sony PSP,1402
B-Boy,True,1,True,True,Action,True,Sony,True,50,0.03,17.95,Sony PSP,1403
BattleZone,True,1,True,True,Action,True,Atari,True,57,0.03,14.95,Sony PSP,1404
Bounty Hounds,True,1,True,True,"Action,Strategy",True,Namco,True,63,0.03,17.95,Sony PSP,1405
Bubble Bobble Evolution,True,1,True,True,Action,True,,True,47,0.03,12.95,Sony PSP,1406
MotoGP,True,1,True,True,"Racing / Driving,Sports",True,Sony,True,69,0.03,32.95,Sony PSP,1407
OutRun 2006: Coast 2 Coast,True,1,True,True,Racing / Driving,True,Sega,True,82,0.03,17.95,Sony PSP,1408
Warhammer: Battle for Atluma,True,1,True,True,Strategy,True,Namco,True,55,0.03,17.95,Sony PSP,1409
SBK: Snowboard Kids,True,1,True,True,"Action,Sports",True,,True,63,0.02,19.95,Nintendo DS,1410
Tenchu: Dark Secret,True,1,True,True,Action,True,Nintendo,True,37,0.02,14.95,Nintendo DS,1411
Dungeon Maker: Hunting Ground,True,1,True,True,"Action,Role-Playing (RPG)",True,,True,70,0.02,14.95,Sony PSP,1412
Metal Gear Solid: Digital Graphic Novel,True,1,True,True,Adventure,True,Konami,True,78,0.02,17.95,Sony PSP,1413
Star Trek: Tactical Assault,True,1,True,True,"Action,Strategy",True,Ubisoft,True,64,0.02,17.95,Sony PSP,1414
Micro Machines V4,True,2,True,True,"Action,Racing / Driving",True,,True,61,0.01,17.95,Sony PSP,1415
Platypus,True,2,True,True,Action,True,,True,59,0.01,14.95,Sony PSP,1416
Custom Robo Arena,True,1,True,True,"Action,Role-Playing (RPG)",True,Nintendo,True,74,0.01,17.95,Nintendo DS,1417
Gurumin: A Monstrous Adventure,True,1,True,True,Action,True,,True,78,0.01,13.95,Sony PSP,1418
Spider-Man 3,True,1,True,True,Action,True,Ubisoft,True,58,0.01,6.95,Sony PSP,1419
Wii Fit,True,1,True,True,"Educational,Sports",True,Nintendo,True,80,9.6,24.95,Nintendo Wii,1420
Halo 3,True,4,True,True,Action,True,Microsoft,True,94,8.03,24.95,X360,1421
Call of Duty 4: Modern Warfare,True,4,True,True,Action,True,Activision,True,94,5.77,29.95,X360,1422
Super Mario Galaxy,True,2,True,True,Action,True,Nintendo,True,97,4.94,39.95,Nintendo Wii,1423
Mario Party DS,True,1,True,True,"Action,Strategy",True,Nintendo,True,72,4.34,27.95,Nintendo DS,1424
Mario Party 8,True,4,True,True,"Action,Strategy",True,Nintendo,True,62,3.84,39.95,Nintendo Wii,1425
Guitar Hero III: Legends of Rock,True,2,True,True,"Action,Simulation",True,Activision,True,85,3.28,12.95,X360,1426
Link's Crossbow Training,True,1,True,True,Action,True,Nintendo,True,68,3.2,14.95,Nintendo Wii,1427
Guitar Hero III: Legends of Rock,True,2,True,True,"Action,Simulation",True,Activision,True,86,3.19,49.95,Nintendo Wii,1428
Assassin's Creed,True,1,True,True,Action,True,Ubisoft,True,81,3.17,16.95,X360,1429
LEGO Star Wars: The Complete Saga,True,2,True,True,Action,True,,True,80,3.03,17.95,Nintendo Wii,1430
Call of Duty 4: Modern Warfare,True,4,True,True,Action,True,Activision,True,94,2.91,24.95,PlayStation 3,1431
Mario & Sonic at the Olympic Games,True,4,True,True,"Action,Sports",True,"Nintendo,Sega",True,67,2.74,29.95,Nintendo Wii,1432
LEGO Star Wars: The Complete Saga,True,1,True,True,"Action,Racing / Driving",True,,True,80,2.66,17.95,Nintendo DS,1433
Forza Motorsport 2,True,2,True,True,Racing / Driving,True,Microsoft,True,90,2.48,12.95,X360,1434
Madden NFL 08,True,4,True,True,Sports,True,EA,True,85,2.32,9.95,X360,1435
Guitar Hero II,True,2,True,True,"Action,Simulation",True,Activision,True,92,2.04,17.95,X360,1436
Rock Band,True,4,True,True,"Action,Simulation",True,,True,92,2.02,14.95,X360,1437
The Legend of Zelda: Phantom Hourglass,True,1,True,True,Action,True,Nintendo,True,90,1.92,24.95,Nintendo DS,1438
Pokmon Mystery Dungeon: Explorers of Darkness,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,59,1.91,15.95,Nintendo DS,1439
Pokmon Mystery Dungeon: Explorers of Time,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,59,1.91,24.95,Nintendo DS,1440
Assassin's Creed,True,1,True,True,Action,True,Ubisoft,True,81,1.77,17.95,PlayStation 3,1441
Uncharted: Drake's Fortune,True,1,True,True,Action,True,Sony,True,88,1.76,24.95,PlayStation 3,1442
Mass Effect,True,1,True,True,"Action,Role-Playing (RPG)",True,Microsoft,True,91,1.57,17.95,X360,1443
Cooking Mama 2: Dinner with Friends,True,1,True,True,Simulation,True,,True,70,1.56,17.95,Nintendo DS,1444
BioShock,True,1,True,True,Action,True,2K,True,96,1.52,16.95,X360,1445
Super Paper Mario,True,1,True,True,"Action,Role-Playing (RPG)",True,Nintendo,True,85,1.5,29.95,Nintendo Wii,1446
Game Party,True,4,True,True,Action,True,Midway,True,25,1.49,14.95,Nintendo Wii,1447
Ratchet & Clank: Size Matters,True,1,True,True,Action,True,Sony,True,85,1.47,14.95,Sony PSP,1448
Dance Dance Revolution Hottest Party,True,4,True,True,Action,True,Konami,True,73,1.45,17.95,Nintendo Wii,1449
Cooking Mama: Cook Off,True,2,True,True,Simulation,True,,True,61,1.38,14.95,Nintendo Wii,1450
Gran Turismo 5: Prologue,True,2,True,True,"Racing / Driving,Simulation",True,Sony,True,80,1.31,24.95,PlayStation 3,1451
Professor Layton and the Curious Village,True,1,True,True,"Adventure,Educational,Strategy",True,Nintendo,True,85,1.26,23.95,Nintendo DS,1452
Resident Evil 4,True,1,True,True,Action,True,Capcom,True,91,1.24,16.95,Nintendo Wii,1453
The Elder Scrolls IV: Oblivion,True,1,True,True,"Action,Role-Playing (RPG)",True,Ubisoft,True,93,1.2,17.95,PlayStation 3,1454
Transformers: Autobots,True,1,True,True,"Action,Racing / Driving",True,Activision,True,67,1.17,17.95,Nintendo DS,1455
Transformers: Decepticons,True,1,True,True,"Action,Racing / Driving",True,Activision,True,66,1.17,17.95,Nintendo DS,1456
Diddy Kong Racing DS,True,1,True,True,"Racing / Driving,Sports",True,Nintendo,True,63,1.16,24.95,Nintendo DS,1457
Big Brain Academy: Wii Degree,True,8,True,True,Action,True,Nintendo,True,68,1.1,19.95,Nintendo Wii,1458
Need for Speed: ProStreet,True,2,True,True,Racing / Driving,True,EA,True,72,1.1,16.95,X360,1459
Deal or No Deal,True,1,True,True,Strategy,True,,True,20,1.1,11.95,Nintendo DS,1460
LEGO Star Wars: The Complete Saga,True,2,True,True,Action,True,,True,80,1.09,17.95,X360,1461
Sonic and the Secret Rings,True,4,True,True,Action,True,Sega,True,69,1.08,16.95,Nintendo Wii,1462
The Orange Box,True,1,True,True,Action,True,,True,96,1.06,17.95,X360,1463
Crackdown,True,1,True,True,"Action,Racing / Driving,Role-Playing (RPG)",True,Microsoft,True,83,1.02,14.95,X360,1464
Rock Band,True,4,True,True,"Action,Simulation",True,,True,92,1.01,14.95,PlayStation 3,1465
Tiger Woods PGA Tour 08,True,4,True,True,Sports,True,EA,True,72,1.0,17.95,Nintendo Wii,1466
WWE Smackdown vs. Raw 2008,True,4,True,True,Sports,True,THQ,True,71,0.96,12.95,X360,1467
Madden NFL 08,True,4,True,True,Sports,True,EA,True,81,0.94,9.95,PlayStation 3,1468
Call of Duty 4: Modern Warfare,True,1,True,True,Action,True,Activision,True,75,0.94,19.95,Nintendo DS,1469
MySims,True,1,True,True,"Simulation,Strategy",True,EA,True,68,0.94,17.95,Nintendo Wii,1470
Mario Strikers Charged,True,4,True,True,"Action,Sports",True,Nintendo,True,79,0.93,29.95,Nintendo Wii,1471
Star Wars Battlefront: Renegade Squadron,True,1,True,True,Action,True,,True,73,0.93,16.95,Sony PSP,1472
Flash Focus: Vision Training in Minutes a Day,True,1,True,True,Action,True,Nintendo,True,59,0.91,17.95,Nintendo DS,1473
Metroid Prime 3: Corruption,True,1,True,True,Action,True,Nintendo,True,90,0.91,19.95,Nintendo Wii,1474
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,True,1,True,True,Action,True,Ubisoft,True,86,0.89,14.95,X360,1475
Madden NFL 08,True,4,True,True,Sports,True,EA,True,76,0.86,12.95,Nintendo Wii,1476
Ratchet & Clank Future: Tools of Destruction,True,1,True,True,Action,True,Sony,True,89,0.86,22.95,PlayStation 3,1477
LEGO Star Wars: The Complete Saga,True,2,True,True,Action,True,,True,80,0.85,17.95,PlayStation 3,1478
Rayman Raving Rabbids 2,True,4,True,True,Action,True,Ubisoft,True,67,0.84,17.95,Nintendo Wii,1479
NBA 2K8 ,True,1,True,True,Sports,True,2K,True,81,0.83,9.95,X360,1480
Namco Museum DS,True,1,True,True,Action,True,Namco,True,67,0.8,17.95,Nintendo DS,1481
Need for Speed: ProStreet,True,2,True,True,Racing / Driving,True,EA,True,73,0.75,16.95,PlayStation 3,1482
Blazing Angels: Squadrons of WWII,True,2,True,True,Action,True,Ubisoft,True,57,0.75,16.95,Nintendo Wii,1483
Drawn to Life,True,1,True,True,Action,True,THQ,True,73,0.75,17.95,Nintendo DS,1484
EA Playground,True,4,True,True,"Action,Racing / Driving,Sports",True,EA,True,66,0.72,17.95,Nintendo Wii,1485
Major League Baseball 2K7,True,2,True,True,Sports,True,2K,True,79,0.7,9.95,X360,1486
Resident Evil: The Umbrella Chronicles,True,2,True,True,Action,True,"Capcom,Nintendo",True,75,0.69,19.95,Nintendo Wii,1487
NCAA Football 08,True,2,True,True,Sports,True,EA,True,81,0.68,9.95,X360,1488
Spectrobes,True,1,True,True,"Action,Strategy",True,,True,63,0.68,14.95,Nintendo DS,1489
The Sims 2: Castaway,True,1,True,True,Simulation,True,EA,True,66,0.66,16.95,Nintendo DS,1490
WWE Smackdown vs. Raw 2008,True,6,True,True,Sports,True,THQ,True,74,0.64,14.95,PlayStation 3,1491
Madden NFL 08,True,1,True,True,Sports,True,EA,True,75,0.64,9.95,Sony PSP,1492
NBA Live 08,True,4,True,True,Sports,True,EA,True,73,0.6,9.95,PlayStation 3,1493
The Simpsons Game,True,1,True,True,Action,True,EA,True,69,0.6,17.95,Nintendo DS,1494
Ace Combat 6: Fires of Liberation,True,1,True,True,"Action,Simulation",True,Namco,True,80,0.58,19.95,X360,1495
Heavenly Sword,True,1,True,True,Action,True,Sony,True,79,0.57,24.95,PlayStation 3,1496
Ninja Gaiden Sigma,True,1,True,True,Action,True,,True,88,0.57,19.95,PlayStation 3,1497
Ben 10: Protector of the Earth,True,1,True,True,Action,True,,True,63,0.57,16.95,Nintendo Wii,1498
The Simpsons Game,True,2,True,True,Action,True,EA,True,71,0.55,17.95,X360,1499
CrossworDS,True,1,True,True,"Educational,Strategy",True,,True,67,0.53,17.95,Nintendo DS,1500
Sonic Rush Adventure,True,1,True,True,"Action,Sports",True,Sega,True,78,0.52,24.95,Nintendo DS,1501
